latitude,longitude,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1.44255,103.7958,1,0.01,2,365
1.33235,103.78521,18,0.28,1,365
1.44246,103.79667,20,0.2,2,365
1.34541,103.95712,14,0.15,9,353
1.34567,103.95963,22,0.22,9,355
1.34702,103.96103,39,0.38,9,346
1.34348,103.96337,25,0.25,9,172
1.32304,103.91363,174,1.88,4,59
1.32458,103.91163,198,2.08,4,133
1.32461,103.91191,236,2.53,4,147
1.28875,103.80814,18,0.23,32,331
1.28837,103.81099,10,0.11,32,276
1.34561,103.95984,12,0.14,9,239
1.31125,103.83816,125,1.35,6,336
1.28976,103.80896,13,0.15,32,340
1.28677,103.81244,10,0.14,32,331
1.28537,103.81087,3,0.04,32,361
1.34943,103.95951,45,0.5,9,357
1.3115,103.83759,84,1.17,6,340
1.31159,103.83805,157,1.75,6,349
1.29345,103.83562,27,0.36,1,364
1.34838,103.9592,16,0.19,9,300
1.34135,103.71139,23,0.27,3,345
1.33171,103.79383,11,0.13,1,362
1.31016,103.79853,28,0.33,1,90
1.30792,103.92287,99,1.28,1,7
1.30377,103.89956,68,0.83,5,167
1.35001,103.87161,36,0.44,1,0
1.34143,103.84945,48,0.61,1,179
1.28315,103.84213,2,0.02,112,365
1.30292,103.82253,1,0.01,1,0
1.28909,103.80749,13,0.17,32,331
1.30529,103.9042,37,0.46,5,221
1.30392,103.89988,68,0.84,5,173
1.29839,103.82808,9,0.11,3,334
1.27681,103.82381,2,0.05,1,208
1.37037,103.90052,20,0.25,3,361
1.28291,103.84284,3,0.04,112,0
1.36775,103.89855,10,0.12,3,268
1.31314,103.84081,14,0.19,1,143
1.31525,103.88176,6,0.15,112,359
1.36885,103.8731,25,0.41,1,339
1.27529,103.84494,6,0.08,3,350
1.28491,103.84209,6,0.16,112,333
1.39877,103.90248,2,2,1,365
1.37369,103.87847,6,0.12,2,339
1.33334,103.8327,222,2.85,2,0
1.29349,103.83837,145,2.04,1,230
1.38123,103.76874,15,0.2,2,131
1.36764,103.90228,60,0.78,3,225
1.33729,103.9298,1,0.03,1,360
1.31135,103.85946,2,0.05,112,360
1.29638,103.87282,14,0.18,1,0
1.28708,103.84444,28,0.4,2,119
1.29891,103.88681,29,0.39,1,277
1.31693,103.82636,42,0.61,19,330
1.31503,103.82614,29,0.42,19,0
1.31507,103.82704,29,0.41,19,340
1.31,103.90321,10,0.14,2,0
1.28485,103.84347,4,0.11,112,322
1.31213,103.8561,1,0.03,112,332
1.28407,103.8436,3,0.1,112,356
1.29201,103.76936,7,0.1,9,0
1.29213,103.76913,11,0.27,9,343
1.31511,103.88947,83,1.11,11,348
1.31259,103.91067,72,0.97,1,354
1.28432,103.84334,3,0.04,112,361
1.29211,103.836,6,0.08,1,0
1.3305,103.8424,29,0.4,1,76
1.30768,103.82017,51,0.79,1,74
1.30774,103.86332,8,0.13,112,359
1.30844,103.85875,22,0.49,1,67
1.30341,103.83365,9,0.19,38,349
1.28328,103.84329,3,0.17,112,356
1.30415,103.90192,27,0.39,5,223
1.33917,103.82306,78,1.1,2,342
1.30292,103.858,2,0.08,7,233
1.32389,103.84872,1,1,2,0
1.28425,103.8432,134,1.91,5,301
1.28446,103.8446,2,0.04,5,275
1.28467,103.84327,83,1.22,5,298
1.29857,103.84748,11,0.18,1,301
1.28459,103.84217,3,0.08,112,356
1.28328,103.84532,3,0.15,5,0
1.44843,103.81538,1,0.01,1,365
1.30626,103.83994,11,0.39,18,334
1.31909,103.85741,1,0.02,1,364
1.31435,103.88617,19,0.28,1,332
1.34566,103.95994,9,0.15,9,361
1.31742,103.82572,24,0.35,19,365
1.2819,103.83849,6,0.09,1,54
1.34574,103.95945,4,0.14,9,357
1.28968,103.84632,11,0.57,2,311
1.31539,103.88257,1,0.03,112,353
1.31944,103.91529,3,0.05,3,362
1.32249,103.92316,2,0.05,3,363
1.3377,103.88248,2,0.05,2,0
1.32111,103.92206,5,0.07,3,365
1.27365,103.84354,8,0.12,1,0
1.32359,103.85063,2,0.03,3,173
1.33903,103.88474,49,0.77,2,345
1.32347,103.85213,11,0.18,3,180
1.29815,103.83895,100,1.46,48,327
1.29549,103.83931,107,1.55,48,323
1.38686,103.74468,29,0.42,2,23
1.34891,103.77137,7,0.14,4,364
1.28153,103.84808,163,2.39,1,29
1.31609,103.85813,8,0.18,11,358
1.31642,103.8398,7,0.18,1,0
1.32122,103.91492,323,4.72,1,239
1.32423,103.85293,21,0.36,3,180
1.29488,103.83973,98,1.44,48,346
1.38602,103.74316,60,0.89,2,0
1.36867,103.89905,7,0.12,2,334
1.28388,103.84398,2,0.04,112,333
1.44076,103.77626,5,0.07,1,365
1.28448,103.8436,307,5.44,3,315
1.31196,103.85962,23,0.35,20,357
1.29462,103.83855,142,2.13,48,309
1.29907,103.87601,52,0.77,1,0
1.31193,103.85952,2,0.04,20,356
1.31254,103.85963,48,0.77,20,358
1.31201,103.85971,29,0.99,20,358
1.31215,103.85982,50,1.05,20,360
1.31125,103.86083,6,0.13,20,363
1.31054,103.86098,11,0.2,20,351
1.33746,103.78052,3,0.1,1,118
1.2942,103.84283,31,0.47,2,338
1.33792,103.88593,57,0.88,2,350
1.283,103.84399,121,1.96,3,333
1.28409,103.84514,19,0.29,3,0
1.28674,103.84073,24,0.37,2,289
1.27819,103.83072,1,0.12,2,365
1.31138,103.86104,1,0.07,83,331
1.29773,103.83919,70,1.08,48,321
