Node,Utilised,DropRate,Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,ReceivedRate,Used_Bandwidth,Lost_Bandwidth,Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,NodeStatus,FloodStatus,Class
3,0.822038,0.190381,1000,0.004815,19.031487,19.038129,0.809619,822.0375,177.9625,90324,73128,17196,130066560,105304320,0.146594,0.780936,0.001838,B,0.023455,NoBlock
9,0.514687,0.494142,100,0.003098,49.392131,49.414235,0.505858,51.46875,48.53125,9048,4577,4471,13029120,6590880,0.405197,0.442631,0.00225,NB,0.291742,NoBlock
9,0.565425,0.444076,100,0.004677,44.3855,44.407604,0.555924,56.5425,43.4575,9048,5030,4018,13029120,7243200,0.359702,0.508883,0.002365,P NB,0.122299,NoBlock
9,0.55125,0.458002,100,0.005004,45.778073,45.800177,0.541998,55.125,44.875,9048,4904,4144,13029120,7061760,0.325181,0.4851,0.002435,P NB,0.120317,NoBlock
9,0.53145,0.477896,100,0.000866,47.75641,47.789567,0.522104,53.145,46.855,9048,4724,4324,13029120,6802560,0.396653,0.451733,0.002294,P NB,0.126929,NoBlock
3,0.820097,0.192972,400,0.000469,19.280576,19.297178,0.807028,328.03875,71.96125,36140,29166,6974,52041600,41999040,0.140869,0.811896,0.00226,B,0.005635,NoBlock
9,0.577238,0.432471,100,0.004838,43.225022,43.247126,0.567529,57.72375,42.27625,9048,5135,3913,13029120,7394400,0.315704,0.496424,0.002764,P NB,0.123125,Wait
9,0.538875,0.47027,100,0.004078,47.004863,47.026967,0.52973,53.8875,46.1125,9048,4793,4255,13029120,6901920,0.352702,0.463433,0.002281,P NB,0.102284,NoBlock
3,0.684394,0.327255,200,0.000493,32.692308,32.725464,0.672745,136.87875,63.12125,18096,12174,5922,26058240,17530560,0.265076,0.657018,0.001902,B,0.021206,NoBlock
9,0.5247,0.484085,100,0.005237,48.386384,48.408488,0.515915,52.47,47.53,9048,4668,4380,13029120,6721920,0.334019,0.456489,0.001917,P NB,0.106886,Wait
3,0.779138,0.233095,300,0.000486,23.291008,23.309464,0.766905,233.74125,66.25875,27092,20777,6315,39012480,29918880,0.191138,0.771346,0.002272,B,0.011468,NoBlock
9,0.513563,0.495469,100,0.000912,49.513705,49.546861,0.504531,51.35625,48.64375,9048,4565,4483,13029120,6573600,0.366647,0.451935,0.001083,P NB,0.076996,Wait
9,0.446906,0.516523,200,0.000569,51.635721,51.652299,0.483477,89.38125,110.61875,18096,8749,9347,26058240,12598560,0.408053,0.384339,0.000726,NB,0.318281,NoBlock
3,0.831741,0.181038,800,0.000666,18.101013,18.103782,0.818962,665.3925,134.6075,72228,59152,13076,104008320,85178880,0.150261,0.823423,0.000758,B,0.027047,NoBlock
9,0.524925,0.483919,200,0.000627,48.380858,48.39191,0.516081,104.985,95.015,18096,9339,8757,26058240,13448160,0.406492,0.451436,0.000755,NB,0.333323,Wait
3,0.721564,0.289414,1000,0.000475,28.93251,28.941367,0.710586,721.56375,278.43625,90324,64183,26141,130066560,92423520,0.20259,0.692701,0.000817,B,0.036466,Wait
3,0.776325,0.235752,600,0.000426,23.569688,23.575225,0.764248,465.795,134.205,54184,41410,12774,78024960,59630400,0.181529,0.737509,0.000921,B,0.005446,NoBlock
9,0.557494,0.45231,200,0.000665,45.092838,45.23099,0.54769,111.49875,88.50125,18096,9911,8185,26058240,14271840,0.307571,0.47387,0.000945,P NB,0.076893,Wait
9,0.718144,0.293656,200,0.002066,29.354553,29.354553,0.706344,143.62875,56.37125,18096,12782,5314,26058240,18406080,0.220242,0.703781,0.000934,B,0.004405,NoBlock
3,0.691228,0.319812,400,0.000856,31.9765,31.981184,0.680188,276.49125,123.50875,36140,24582,11558,52041600,35398080,0.236661,0.601368,0.000767,B,0.021299,Wait
9,0.517444,0.49149,200,0.000633,49.132405,49.148983,0.50851,103.48875,96.51125,18096,9202,8894,26058240,13250880,0.393192,0.455351,0.001051,P NB,0.110094,Wait
3,0.790275,0.222095,300,0.000713,22.202126,22.209508,0.777905,237.0825,62.9175,27092,21075,6017,39012480,30348000,0.188781,0.750761,0.001035,B,0.018878,NoBlock
9,0.742725,0.269839,200,0.000538,26.967286,26.983864,0.730161,148.545,51.455,18096,13213,4883,26058240,19026720,0.223966,0.735298,0.001093,B,0.022397,Wait
3,0.486844,0.488448,200,0.001881,60.969275,60.980327,0.390197,97.36875,102.63125,18096,7061,11035,26058240,10167840,0.400528,0.418686,0.001088,NB,0.248327,Wait
9,0.530606,0.478448,200,0.000641,47.828249,47.844828,0.521552,106.12125,93.87875,18096,9438,8658,26058240,13590720,0.368405,0.466934,0.001021,P NB,0.099469,NoBlock
3,0.395438,0.611516,100,0.000507,61.074271,61.151636,0.388484,39.54375,60.45625,9048,3515,5533,13029120,5061600,0.415831,0.347985,0.000996,NB,0.224549,Wait
9,0.748575,0.264092,200,0.000575,26.392573,26.409151,0.735908,149.715,50.285,18096,13317,4779,26058240,19176480,0.171659,0.733604,0.001144,B,0.027466,NoBlock
3,0.804499,0.207652,1000,0.000561,20.759709,20.765245,0.792348,804.49875,195.50125,90324,71568,18756,130066560,103057920,0.153663,0.772319,0.001127,B,0.023049,NoBlock
9,0.255375,0.748487,300,0.003407,74.841282,74.848664,0.251513,76.6125,223.3875,27092,6814,20278,39012480,9812160,0.494001,0.227284,0.001277,NB,0.296401,Wait
3,0.780688,0.231163,900,0.000488,23.113834,23.116295,0.768837,702.61875,197.38125,81276,62488,18788,117037440,89982720,0.18493,0.765074,0.000947,B,0.031438,NoBlock
9,0.518925,0.489148,300,0.001236,48.907427,48.914809,0.510852,155.6775,144.3225,27092,13840,13252,39012480,19929600,0.371753,0.451465,0.001068,P NB,0.115243,Wait
