Left_Weight,Left_Distance,Right_Weight2,Right,Balance_Scale2
1,1,1,2,Positive
1,1,1,3,Positive
1,1,1,4,Positive
1,1,1,5,Positive
1,1,2,1,Positive
1,1,2,2,Positive
1,1,2,3,Positive
1,1,2,4,Positive
1,1,2,5,Positive
1,1,3,1,Positive
1,1,3,2,Positive
1,1,3,3,Positive
1,1,3,4,Positive
1,1,3,5,Positive
1,1,4,1,Positive
1,1,4,2,Positive
1,1,4,3,Positive
1,1,4,4,Positive
1,1,4,5,Positive
1,1,5,1,Positive
1,1,5,2,Positive
1,1,5,3,Positive
1,1,5,4,Positive
1,1,5,5,Positive
1,2,1,1,Negative
1,2,1,3,Positive
1,2,1,4,Positive
1,2,1,5,Positive
1,2,2,2,Positive
1,2,2,3,Positive
1,2,2,4,Positive
1,2,2,5,Positive
1,2,3,1,Positive
1,2,3,2,Positive
1,2,3,3,Positive
1,2,3,4,Positive
1,2,3,5,Positive
1,2,4,1,Positive
1,2,4,2,Positive
1,2,4,3,Positive
1,2,4,4,Positive
1,2,4,5,Positive
1,2,5,1,Positive
1,2,5,2,Positive
1,2,5,3,Positive
1,2,5,4,Positive
1,2,5,5,Positive
1,3,1,1,Negative
1,3,1,2,Negative
1,3,1,4,Positive
1,3,1,5,Positive
1,3,2,1,Negative
1,3,2,2,Positive
1,3,2,3,Positive
1,3,2,4,Positive
1,3,2,5,Positive
1,3,3,2,Positive
1,3,3,3,Positive
1,3,3,4,Positive
1,3,3,5,Positive
1,3,4,1,Positive
1,3,4,2,Positive
1,3,4,3,Positive
1,3,4,4,Positive
1,3,4,5,Positive
1,3,5,1,Positive
1,3,5,2,Positive
1,3,5,3,Positive
1,3,5,4,Positive
1,3,5,5,Positive
1,4,1,1,Negative
1,4,1,2,Negative
1,4,1,3,Negative
1,4,1,5,Positive
1,4,2,1,Negative
1,4,2,3,Positive
1,4,2,4,Positive
1,4,2,5,Positive
1,4,3,1,Negative
1,4,3,2,Positive
1,4,3,3,Positive
1,4,3,4,Positive
1,4,3,5,Positive
1,4,4,2,Positive
1,4,4,3,Positive
1,4,4,4,Positive
1,4,4,5,Positive
1,4,5,1,Positive
1,4,5,2,Positive
1,4,5,3,Positive
1,4,5,4,Positive
1,4,5,5,Positive
1,5,1,1,Negative
1,5,1,2,Negative
1,5,1,3,Negative
1,5,1,4,Negative
1,5,2,1,Negative
1,5,2,2,Negative
1,5,2,3,Positive
1,5,2,4,Positive
1,5,2,5,Positive
1,5,3,1,Negative
1,5,3,2,Positive
1,5,3,3,Positive
1,5,3,4,Positive
1,5,3,5,Positive
1,5,4,1,Negative
1,5,4,2,Positive
1,5,4,3,Positive
1,5,4,4,Positive
1,5,4,5,Positive
1,5,5,2,Positive
1,5,5,3,Positive
1,5,5,4,Positive
1,5,5,5,Positive
2,1,1,1,Negative
2,1,1,3,Positive
2,1,1,4,Positive
2,1,1,5,Positive
2,1,2,2,Positive
2,1,2,3,Positive
2,1,2,4,Positive
2,1,2,5,Positive
2,1,3,1,Positive
2,1,3,2,Positive
2,1,3,3,Positive
2,1,3,4,Positive
2,1,3,5,Positive
2,1,4,1,Positive
2,1,4,2,Positive
2,1,4,3,Positive
2,1,4,4,Positive
2,1,4,5,Positive
2,1,5,1,Positive
2,1,5,2,Positive
2,1,5,3,Positive
2,1,5,4,Positive
2,1,5,5,Positive
2,2,1,1,Negative
2,2,1,2,Negative
2,2,1,3,Negative
2,2,1,5,Positive
2,2,2,1,Negative
2,2,2,3,Positive
2,2,2,4,Positive
2,2,2,5,Positive
2,2,3,1,Negative
2,2,3,2,Positive
2,2,3,3,Positive
2,2,3,4,Positive
2,2,3,5,Positive
2,2,4,2,Positive
2,2,4,3,Positive
2,2,4,4,Positive
2,2,4,5,Positive
2,2,5,1,Positive
2,2,5,2,Positive
2,2,5,3,Positive
2,2,5,4,Positive
2,2,5,5,Positive
2,3,1,1,Negative
2,3,1,2,Negative
2,3,1,3,Negative
2,3,1,4,Negative
2,3,1,5,Negative
2,3,2,1,Negative
2,3,2,2,Negative
2,3,2,4,Positive
2,3,2,5,Positive
2,3,3,1,Negative
2,3,3,3,Positive
2,3,3,4,Positive
2,3,3,5,Positive
2,3,4,1,Negative
2,3,4,2,Positive
2,3,4,3,Positive
2,3,4,4,Positive
2,3,4,5,Positive
2,3,5,1,Negative
2,3,5,2,Positive
2,3,5,3,Positive
2,3,5,4,Positive
2,3,5,5,Positive
2,4,1,1,Negative
2,4,1,2,Negative
2,4,1,3,Negative
2,4,1,4,Negative
2,4,1,5,Negative
2,4,2,1,Negative
2,4,2,2,Negative
2,4,2,3,Negative
2,4,2,5,Positive
2,4,3,1,Negative
2,4,3,2,Negative
2,4,3,3,Positive
2,4,3,4,Positive
2,4,3,5,Positive
2,4,4,1,Negative
2,4,4,3,Positive
2,4,4,4,Positive
2,4,4,5,Positive
2,4,5,1,Negative
2,4,5,2,Positive
2,4,5,3,Positive
2,4,5,4,Positive
2,4,5,5,Positive
2,5,1,1,Negative
2,5,1,2,Negative
2,5,1,3,Negative
2,5,1,4,Negative
2,5,1,5,Negative
2,5,2,1,Negative
2,5,2,2,Negative
2,5,2,3,Negative
2,5,2,4,Negative
2,5,3,1,Negative
2,5,3,2,Negative
2,5,3,3,Negative
2,5,3,4,Positive
2,5,3,5,Positive
2,5,4,1,Negative
2,5,4,2,Negative
2,5,4,3,Positive
2,5,4,4,Positive
2,5,4,5,Positive
2,5,5,1,Negative
2,5,5,3,Positive
2,5,5,4,Positive
2,5,5,5,Positive
3,1,1,1,Negative
3,1,1,2,Negative
3,1,1,4,Positive
3,1,1,5,Positive
3,1,2,1,Negative
3,1,2,2,Positive
3,1,2,3,Positive
3,1,2,4,Positive
3,1,2,5,Positive
3,1,3,2,Positive
3,1,3,3,Positive
3,1,3,4,Positive
3,1,3,5,Positive
3,1,4,1,Positive
3,1,4,2,Positive
3,1,4,3,Positive
3,1,4,4,Positive
3,1,4,5,Positive
3,1,5,1,Positive
3,1,5,2,Positive
3,1,5,3,Positive
3,1,5,4,Positive
3,1,5,5,Positive
3,2,1,1,Negative
3,2,1,2,Negative
3,2,1,3,Negative
3,2,1,4,Negative
3,2,1,5,Negative
3,2,2,1,Negative
3,2,2,2,Negative
3,2,2,4,Positive
3,2,2,5,Positive
3,2,3,1,Negative
3,2,3,3,Positive
3,2,3,4,Positive
3,2,3,5,Positive
3,2,4,1,Negative
3,2,4,2,Positive
3,2,4,3,Positive
3,2,4,4,Positive
3,2,4,5,Positive
3,2,5,1,Negative
3,2,5,2,Positive
3,2,5,3,Positive
3,2,5,4,Positive
3,2,5,5,Positive
3,3,1,1,Negative
3,3,1,2,Negative
3,3,1,3,Negative
3,3,1,4,Negative
3,3,1,5,Negative
3,3,2,1,Negative
3,3,2,2,Negative
3,3,2,3,Negative
3,3,2,4,Negative
3,3,2,5,Positive
3,3,3,1,Negative
3,3,3,2,Negative
3,3,3,4,Positive
3,3,3,5,Positive
3,3,4,1,Negative
3,3,4,2,Negative
3,3,4,3,Positive
3,3,4,4,Positive
3,3,4,5,Positive
3,3,5,1,Negative
3,3,5,2,Positive
3,3,5,3,Positive
3,3,5,4,Positive
3,3,5,5,Positive
3,4,1,1,Negative
3,4,1,2,Negative
3,4,1,3,Negative
3,4,1,4,Negative
3,4,1,5,Negative
3,4,2,1,Negative
3,4,2,2,Negative
3,4,2,3,Negative
3,4,2,4,Negative
3,4,2,5,Negative
3,4,3,1,Negative
3,4,3,2,Negative
3,4,3,3,Negative
3,4,3,5,Positive
3,4,4,1,Negative
3,4,4,2,Negative
3,4,4,4,Positive
3,4,4,5,Positive
3,4,5,1,Negative
3,4,5,2,Negative
3,4,5,3,Positive
3,4,5,4,Positive
3,4,5,5,Positive
3,5,1,1,Negative
3,5,1,2,Negative
3,5,1,3,Negative
3,5,1,4,Negative
3,5,1,5,Negative
3,5,2,1,Negative
3,5,2,2,Negative
3,5,2,3,Negative
3,5,2,4,Negative
3,5,2,5,Negative
3,5,3,1,Negative
3,5,3,2,Negative
3,5,3,3,Negative
3,5,3,4,Negative
3,5,4,1,Negative
3,5,4,2,Negative
3,5,4,3,Negative
3,5,4,4,Positive
3,5,4,5,Positive
3,5,5,1,Negative
3,5,5,2,Negative
3,5,5,4,Positive
3,5,5,5,Positive
4,1,1,1,Negative
4,1,1,2,Negative
4,1,1,3,Negative
4,1,1,5,Positive
4,1,2,1,Negative
4,1,2,3,Positive
4,1,2,4,Positive
4,1,2,5,Positive
4,1,3,1,Negative
4,1,3,2,Positive
4,1,3,3,Positive
4,1,3,4,Positive
4,1,3,5,Positive
4,1,4,2,Positive
4,1,4,3,Positive
4,1,4,4,Positive
4,1,4,5,Positive
4,1,5,1,Positive
4,1,5,2,Positive
4,1,5,3,Positive
4,1,5,4,Positive
4,1,5,5,Positive
4,2,1,1,Negative
4,2,1,2,Negative
4,2,1,3,Negative
4,2,1,4,Negative
4,2,1,5,Negative
4,2,2,1,Negative
4,2,2,2,Negative
4,2,2,3,Negative
4,2,2,5,Positive
4,2,3,1,Negative
4,2,3,2,Negative
4,2,3,3,Positive
4,2,3,4,Positive
4,2,3,5,Positive
4,2,4,1,Negative
4,2,4,3,Positive
4,2,4,4,Positive
4,2,4,5,Positive
4,2,5,1,Negative
4,2,5,2,Positive
4,2,5,3,Positive
4,2,5,4,Positive
4,2,5,5,Positive
4,3,1,1,Negative
4,3,1,2,Negative
4,3,1,3,Negative
4,3,1,4,Negative
4,3,1,5,Negative
4,3,2,1,Negative
4,3,2,2,Negative
4,3,2,3,Negative
4,3,2,4,Negative
4,3,2,5,Negative
4,3,3,1,Negative
4,3,3,2,Negative
4,3,3,3,Negative
4,3,3,5,Positive
4,3,4,1,Negative
4,3,4,2,Negative
4,3,4,4,Positive
4,3,4,5,Positive
4,3,5,1,Negative
4,3,5,2,Negative
4,3,5,3,Positive
4,3,5,4,Positive
4,3,5,5,Positive
4,4,1,1,Negative
4,4,1,2,Negative
4,4,1,3,Negative
4,4,1,4,Negative
4,4,1,5,Negative
4,4,2,1,Negative
4,4,2,2,Negative
4,4,2,3,Negative
4,4,2,4,Negative
4,4,2,5,Negative
4,4,3,1,Negative
4,4,3,2,Negative
4,4,3,3,Negative
4,4,3,4,Negative
4,4,3,5,Negative
4,4,4,1,Negative
4,4,4,2,Negative
4,4,4,3,Negative
4,4,4,5,Positive
4,4,5,1,Negative
4,4,5,2,Negative
4,4,5,3,Negative
4,4,5,4,Positive
4,4,5,5,Positive
4,5,1,1,Negative
4,5,1,2,Negative
4,5,1,3,Negative
4,5,1,4,Negative
4,5,1,5,Negative
4,5,2,1,Negative
4,5,2,2,Negative
4,5,2,3,Negative
4,5,2,4,Negative
4,5,2,5,Negative
4,5,3,1,Negative
4,5,3,2,Negative
4,5,3,3,Negative
4,5,3,4,Negative
4,5,3,5,Negative
4,5,4,1,Negative
4,5,4,2,Negative
4,5,4,3,Negative
4,5,4,4,Negative
4,5,5,1,Negative
4,5,5,2,Negative
4,5,5,3,Negative
4,5,5,5,Positive
5,1,1,1,Negative
5,1,1,2,Negative
5,1,1,3,Negative
5,1,1,4,Negative
5,1,2,1,Negative
5,1,2,2,Negative
5,1,2,3,Positive
5,1,2,4,Positive
5,1,2,5,Positive
5,1,3,1,Negative
5,1,3,2,Positive
5,1,3,3,Positive
5,1,3,4,Positive
5,1,3,5,Positive
5,1,4,1,Negative
5,1,4,2,Positive
5,1,4,3,Positive
5,1,4,4,Positive
5,1,4,5,Positive
5,1,5,2,Positive
5,1,5,3,Positive
5,1,5,4,Positive
5,1,5,5,Positive
5,2,1,1,Negative
5,2,1,2,Negative
5,2,1,3,Negative
5,2,1,4,Negative
5,2,1,5,Negative
5,2,2,1,Negative
5,2,2,2,Negative
5,2,2,3,Negative
5,2,2,4,Negative
5,2,3,1,Negative
5,2,3,2,Negative
5,2,3,3,Negative
5,2,3,4,Positive
5,2,3,5,Positive
5,2,4,1,Negative
5,2,4,2,Negative
5,2,4,3,Positive
5,2,4,4,Positive
5,2,4,5,Positive
5,2,5,1,Negative
5,2,5,3,Positive
5,2,5,4,Positive
5,2,5,5,Positive
5,3,1,1,Negative
5,3,1,2,Negative
5,3,1,3,Negative
5,3,1,4,Negative
5,3,1,5,Negative
5,3,2,1,Negative
5,3,2,2,Negative
5,3,2,3,Negative
5,3,2,4,Negative
5,3,2,5,Negative
5,3,3,1,Negative
5,3,3,2,Negative
5,3,3,3,Negative
5,3,3,4,Negative
5,3,4,1,Negative
5,3,4,2,Negative
5,3,4,3,Negative
5,3,4,4,Positive
5,3,4,5,Positive
5,3,5,1,Negative
5,3,5,2,Negative
5,3,5,4,Positive
5,3,5,5,Positive
5,4,1,1,Negative
5,4,1,2,Negative
5,4,1,3,Negative
5,4,1,4,Negative
5,4,1,5,Negative
5,4,2,1,Negative
5,4,2,2,Negative
5,4,2,3,Negative
